Timestamp,Key,Interval_ms,Chars_per_Second,Error_Count,is_human
28/10/2024 18:46,e,"15,8","63,31",0,0
28/10/2024 18:46,r,"16,18","61,81",0,0
28/10/2024 18:46,[SPACE],"16,01","62,47",0,0
28/10/2024 18:46,i,"16,18","61,81",0,0
28/10/2024 18:46,n,"15,32","65,29",0,0
28/10/2024 18:46,f,"16,66","60,01",0,0
28/10/2024 18:46,o,"15,16","65,94",0,0
28/10/2024 18:46,r,"16,72","59,82",0,0
28/10/2024 18:46,m,"15,24","65,63",0,0
28/10/2024 18:46,a,"16,3","61,36",0,0
28/10/2024 18:46,r,"15,93","62,77",0,0
28/10/2024 18:46,t,"15,83","63,18",0,0
28/10/2024 18:46,e,"17,34","57,66",0,0
28/10/2024 18:46,[SPACE],"15,28","65,45",0,0
28/10/2024 18:46,q,"16,02","62,44",0,0
28/10/2024 18:46,u,"16,17","61,84",0,0
28/10/2024 18:46,e,"15,8","63,29",0,0
28/10/2024 18:46,[SPACE],16,"62,49",0,0
28/10/2024 18:46,t,"16,01","62,46",0,0
28/10/2024 18:46,u,"16,08","62,19",0,0
28/10/2024 18:46,[SPACE],"15,99","62,54",0,0
28/10/2024 18:46,c,"16,2","61,72",0,0
28/10/2024 18:46,o,"15,22","65,69",0,0
28/10/2024 18:46,m,"16,49","60,65",0,0
28/10/2024 18:46,p,"15,63","63,98",0,0
28/10/2024 18:46,u,"16,58","60,31",0,0
28/10/2024 18:46,t,"15,22","65,69",0,0
28/10/2024 18:46,a,"16,76","59,66",0,0
28/10/2024 18:46,d,"16,01","62,46",0,0
28/10/2024 18:46,o,"15,9","62,89",0,0
28/10/2024 18:46,r,"15,61","64,07",0,0
28/10/2024 18:46,[SPACE],"16,14","61,95",0,0
28/10/2024 18:46,a,"16,2","61,72",0,0
28/10/2024 18:46,h,16,"62,49",0,0
28/10/2024 18:46,o,"16,06","62,28",0,0
28/10/2024 18:46,r,"15,9","62,89",0,0
28/10/2024 18:46,a,"16,17","61,84",0,0
28/10/2024 18:46,[SPACE],"15,73","63,59",0,0
28/10/2024 18:46,m,"16,09","62,15",0,0
28/10/2024 18:46,e,"16,11","62,08",0,0
28/10/2024 18:46,[SPACE],"15,23","65,67",0,0
28/10/2024 18:46,p,"16,72","59,81",0,0
28/10/2024 18:46,e,"16,03","62,38",0,0
28/10/2024 18:46,r,"15,51","64,48",0,0
28/10/2024 18:46,t,"16,42","60,91",0,0
28/10/2024 18:46,e,"15,98","62,56",0,0
28/10/2024 18:46,n,"16,12","62,02",0,0
28/10/2024 18:46,e,"15,72","63,63",0,0
28/10/2024 18:46,c,"15,92","62,81",0,0
28/10/2024 18:46,e,"16,02","62,41",0,0
28/10/2024 18:46,",","16,06","62,27",0,0
28/10/2024 18:46,[SPACE],"15,68","63,8",0,0
28/10/2024 18:46,t,17,"58,82",0,0
28/10/2024 18:46,e,"15,47","64,65",0,0
28/10/2024 18:46,[SPACE],"16,12","62,02",0,0
28/10/2024 18:46,r,"16,19","61,76",0,0
28/10/2024 18:46,e,"15,12","66,12",0,0
28/10/2024 18:46,c,"16,12","62,03",0,0
28/10/2024 18:46,o,"16,08","62,18",0,0
28/10/2024 18:46,m,"15,92","62,83",0,0
28/10/2024 18:46,i,"16,78","59,61",0,0
28/10/2024 18:46,e,"15,79","63,34",0,0
28/10/2024 18:46,n,"16,01","62,47",0,0
28/10/2024 18:46,d,"15,81","63,25",0,0
28/10/2024 18:46,o,"16,08","62,17",0,0
28/10/2024 18:46,[SPACE],"15,89","62,93",0,0
28/10/2024 18:46,f,"16,04","62,34",0,0
28/10/2024 18:46,o,"16,17","61,84",0,0
28/10/2024 18:46,r,"15,63","63,96",0,0
28/10/2024 18:46,m,"16,09","62,15",0,0
